Geographic Area,City,Median Income
CO,Dinosaur town,42083
GA,Allenhurst city,42083
GA,Sumner town,42083
ID,Mackay city,42083
IA,Clio city,42083
IA,Dundee city,42083
KS,Grinnell city,42083
LA,McNary village,42083
MI,Norway city,42083
MN,Okabena city,42083
MN,Twin Lakes city,42083
MN,Winnebago city,42083
MO,Otterville city,42083
NE,Harvard city,42083
NE,Howard City village,42083
NE,Polk village,42083
ND,Landa city,42083
OK,Adair town,42083
OK,Fairfield CDP,42083
PA,Hyde Park borough,42083
PA,Jermyn borough,42083
PA,Spartansburg borough,42083
PA,Stoystown borough,42083
SD,Cavour town,42083
SD,Kennebec town,42083
UT,Joseph town,42083
UT,Lyman town,42083
WA,Wilson Creek town,42083
WI,Bloomington village,42083
WY,Encampment town,42083
IL,Champaign city,42094
NY,Galeville CDP,42097
NM,Ruidoso village,42098
IL,Park City city,42099
AR,Caddo Valley town,42105
MS,Seminary town,42105
GA,Hinesville city,42111
PA,Bangor borough,42112
PA,Falls Creek borough,42112
ME,Bar Harbor CDP,42117
IL,Oregon city,42120
TX,Waller city,42120
TX,Goldthwaite city,42121
IL,Alvan village,42125
IL,Cutler village,42125
MD,Bladensburg town,42125
NE,Cedar Rapids village,42125
NY,Machias CDP,42125
VA,Chilhowie town,42125
NC,Wilmington city,42128
PA,Penndel borough,42128
PA,Clifton Heights borough,42129
PA,Sugar Notch borough,42132
IA,Afton city,42137
WY,Lovell town,42140
AL,New Site town,42143
AR,Beaver town,42143
FL,Sopchoppy city,42143
IL,Atkinson town,42143
LA,Sarepta town,42143
MT,Shepherd CDP,42143
OH,Kinsman Center CDP,42143
OH,Venedocia village,42143
PA,Arona borough,42143
OR,Junction City city,42153
PA,Cumbola CDP,42153
SD,Milbank city,42153
NY,Bedford Hills CDP,42155
MT,Edgar CDP,42159
OH,Bay View village,42159
IL,Lewistown city,42167
AL,Hueytown city,42172
NY,Corinth village,42183
NC,Monroe city,42186
AK,Kwigillingok CDP,42188
ID,Filer city,42188
IN,Orland town,42188
IA,Macksburg city,42188
IA,Ocheyedan city,42188
KY,Belfry CDP,42188
LA,Dry Prong village,42188
MN,Wendell city,42188
MO,Morley city,42188
NE,Filley village,42188
NE,Petersburg village,42188
NE,Stanton city,42188
NC,Crossnore town,42188
OH,Catawba village,42188
OH,Jacksonville village,42188
OK,Ames town,42188
OK,Wynona town,42188
PA,Westover borough,42188
SD,Martin city,42188
TX,Oak Ridge town (Cooke County),42188
IL,Vandalia city,42194
PA,Towanda borough,42196
NV,Gardnerville CDP,42198
AZ,Window Rock CDP,42202
OH,Bellefontaine city,42204
NC,Southport city,42205
TX,Pampa city,42205
AZ,St. Michaels CDP,42206
HI,Kaunakakai CDP,42206
NY,Arlington CDP,42208
PA,Youngwood borough,42208
IA,Ainsworth city,42212
PA,Wallaceton borough,42212
ID,Driggs city,42216
WA,Pomeroy city,42216
CA,Vista Santa Rosa CDP,42222
MT,Big Timber city,42222
NE,Otoe village,42222
NE,Uehling village,42222
PA,Branchdale CDP,42222
PA,East Rochester borough,42222
WI,Elmwood village,42222
IA,Perry city,42225
ME,Woodland CDP,42227
MN,Gaylord city,42228
WI,Highland village,42228
IA,High Amana CDP,42232
IA,Otho city,42232
TX,Henderson city,42232
IA,Bloomfield city,42234
OH,La Croft CDP,42237
IL,Camp Point village,42240
IN,Fowler town,42241
MD,Baltimore city,42241
AR,Dyess town,42250
IA,Hopkinton city,42250
KS,Topeka city,42250
KY,Waverly city,42250
MN,Willmar city,42250
NY,North Rose CDP,42250
OH,Antioch village,42250
OH,Hanging Rock village,42250
OK,Canute town,42250
OK,Welling CDP,42250
PA,Marion Center borough,42250
TX,Harper CDP,42250
KY,Ledbetter CDP,42257
MD,Lansdowne CDP,42267
MN,Austin city,42268
IA,Lovilia city,42273
ND,Minnewaukan city,42273
OH,Phillipsburg village,42273
MI,Lawton village,42277
TX,Arcola city,42279
IN,North Manchester town,42281
NE,St. Paul city,42283
OK,Tulsa city,42284
IN,Kentland town,42286
NY,Southport CDP,42287
CA,Live Oak city,42288
WY,Daniel CDP,42288
AL,Geraldine town,42292
IN,Camden town,42292
IA,Zwingle city,42292
NE,Plainview city,42292
NC,Bolivia town,42292
OH,Barnhill village,42292
SD,Timber Lake city,42292
VA,Saluda CDP,42292
IL,Maywood village,42298
OH,Mount Healthy Heights CDP,42298
NC,High Point city,42299
OK,Krebs city,42305
GA,Columbus city,42306
PA,Jersey Shore borough,42306
ID,American Falls city,42308
IA,Walnut city,42308
MD,Gilmore CDP,42308
MI,Colon village,42308
NE,Indianola city,42313
CO,Delta city,42314
MN,Fulda city,42315
FL,Orlando city,42318
AR,Springdale city,42319
TN,Colonial Heights CDP,42319
AL,Sumiton city,42321
AZ,Red Mesa CDP,42321
ID,Mullan city,42321
IL,De Witt village,42321
IA,New Market city,42321
OH,Morrow village,42321
MS,Pearl city,42323
MI,Fowlerville village,42325
NE,Nebraska City city,42327
KY,Hanson city,42333
MO,Rogersville city,42333
OR,Cove city,42333
KY,Crittenden city,42336
IN,St. Bernice CDP,42337
RI,Hopkinton CDP,42337
TN,Lexington city,42337
MI,Shorewood-Tower Hills-Harbert CDP,42338
OH,Brooklyn city,42341
CA,Chico city,42342
LA,Berwick town,42342
AK,Ambler city,42344
IL,Newman city,42344
IN,Orestes town,42344
KY,Maceo CDP,42344
MN,Amboy city,42344
NY,Sinclairville village,42344
OH,Lakeside CDP,42344
OH,New Haven CDP (Huron County),42344
PA,Garden View CDP,42344
UT,Echo CDP,42344
IL,Creve Coeur village,42350
KS,Hutchinson city,42350
FL,Southgate CDP,42351
MN,Butterfield city,42353
NC,Red Cross town,42353
IL,Round Lake Park village,42355
AL,Fyffe town,42356
IL,Polo city,42361
IL,Tilton village,42361
KS,Offerle city,42361
MT,Scobey city,42361
SD,Delmont city,42361
WV,Franklin town,42361
NY,Napanoch CDP,42363
PA,Bellefonte borough,42364
MS,Farmington town,42366
TX,Nolanville city,42366
KS,Potwin city,42368
LA,Lutcher town,42368
NE,Bayard city,42368
IA,Iowa City city,42375
IA,Harlan city,42378
IN,Palmyra town,42381
SD,Kimball city,42386
WA,Spokane city,42386
WA,Vader city,42386
WV,Chattaroy CDP,42386
TX,Blossom city,42390
TX,Three Rivers city,42390
FL,Watergate CDP,42391
NY,Hudson Falls village,42392
ND,Hatton city,42396
CA,Walnut Park CDP,42400
FL,Pine Lakes CDP,42404
IL,Bonnie village,42404
AZ,Globe city,42405
IL,Roseville village,42406
SC,Branchville town,42407
CO,Cortez city,42412
PA,Colwyn borough,42414
TX,Bridgeport city,42415
FL,Polk City town,42417
PA,Montrose borough,42417
AZ,Fort Mohave CDP,42418
AZ,Strawberry CDP,42422
IN,Wheatland town,42422
NY,Canisteo village,42422
CT,Thomaston CDP,42423
AL,Dothan city,42426
IA,Manly city,42434
TX,Kountze city,42434
FL,Loughman CDP,42435
MI,Lakes of the North CDP,42442
MN,Kimball city,42443
NE,O'Neill city,42443
FL,Fountainebleau CDP,42444
PA,Mocanaqua CDP,42448
PA,Mount Aetna CDP,42448
IA,Rockwell City city,42450
KS,Hoisington city,42452
MO,Shell Knob CDP,42453
CO,Burlington city,42457
CO,Fairplay town,42457
SD,Wessington Springs city,42458
WV,Clendenin town,42461
WI,Cameron village,42463
PA,Bradenville CDP,42471
IL,Taylorville city,42480
GA,Doraville city,42482
OR,Corvallis city,42488
OK,Lawton city,42493
AL,St. Stephens CDP,42500
AK,St. Mary's city,42500
AZ,Littletown CDP,42500
AR,Oppelo city,42500
AR,Subiaco town,42500
CA,Tahoma CDP,42500
CO,Haswell town,42500
FL,Englewood CDP,42500
FL,Port LaBelle CDP,42500
GA,Carl town,42500
GA,Talking Rock town,42500
ID,Reubens city,42500
ID,Rockland city,42500
ID,St. Anthony city,42500
IL,Alpha village,42500
IL,Broadwell village,42500
IL,Dakota village,42500
IL,Owaneco village,42500
IL,St. Augustine village,42500
IL,Villa Grove city,42500
IL,West Peoria city,42500
IN,Center Point town,42500
IN,Daleville town,42500
IN,Griffin town,42500
IN,Hoagland CDP,42500
IN,Mount Auburn town,42500
IA,Nora Springs city,42500
IA,Royal city,42500
IA,Waterville city,42500
IA,Whittemore city,42500
KS,Abbyville city,42500
KS,Clay Center city,42500
KS,Collyer city,42500
KS,Conway Springs city,42500
KS,Cuba city,42500
KS,Smolan city,42500
KS,Washington city,42500
LA,Atlanta village,42500
MD,Betterton town,42500
MI,Eagle River CDP,42500
MI,Hersey village,42500
MI,Merrill village,42500
MI,Watervliet city,42500
MN,Arlington city,42500
MN,Burtrum city,42500
MN,Dundee city,42500
MN,Kinney city,42500
MO,Arrow Point village,42500
MO,Edinburg CDP,42500
MO,Greentop city,42500
MO,Mooresville village,42500
MT,Red Lodge city,42500
NE,Ashton village,42500
NE,Ayr village,42500
NE,Inman village,42500
NE,Odell village,42500
NM,Beclabito CDP,42500
NM,Boles Acres CDP,42500
NM,Rio Lucio CDP,42500
NY,Brushton village,42500
NY,Celoron village,42500
NY,Laurens village,42500
NY,Riverside village,42500
NC,Rockwell town,42500
NC,Turkey town,42500
OH,Custar village,42500
OH,Marlboro CDP,42500
OH,Middle Point village,42500
OH,Tiro village,42500
OK,Arnett town,42500
OK,Dewar town,42500
OK,Dill City town,42500
OK,Ratliff City town,42500
OK,South Coffeyville town,42500
OK,Waynoka city,42500
OR,Mosier city,42500
OR,Westfir city,42500
PA,Jonestown CDP,42500
PA,Kirkwood CDP,42500
PA,Mahaffey borough,42500
PA,Mount Jewett borough,42500
PA,Trainer borough,42500
PA,York Haven borough,42500
SD,Colome city,42500
TN,Silerton town,42500
TX,Adrian city,42500
TX,Blooming Grove town,42500
TX,Lake City town,42500
TX,Lexington town,42500
TX,Whiteface town,42500
UT,Circleville town,42500
UT,Torrey town,42500
VA,Jarratt town,42500
WI,Brokaw village,42500
WI,Brule CDP,42500
WI,Long Lake CDP,42500
WI,Norwalk village,42500
NM,Alamogordo city,42517
WI,Arcadia city,42546
IA,Manning city,42548
OK,Ardmore city,42549
PA,Derry borough,42550
IA,Clarinda city,42551
MN,Fairfax city,42552
PA,Brackenridge borough,42560
WI,Oconto city,42563
AZ,Prescott Valley town,42571
TN,Manchester city,42574
AL,Adamsville city,42575
MN,Marble city,42578
OH,New Concord village,42578
IL,Livingston village,42583
PA,Mount Pleasant borough,42583
NY,Carthage village,42587
UT,Wellington city,42589
VA,Parksley town,42589
IN,Columbia City city,42590
MO,Crystal City city,42593
PA,Hastings borough,42593
PA,Dravosburg borough,42594
IA,Fort Madison city,42595
PA,Zelienople borough,42600
GA,Blythe city,42604
KY,Calvert City city,42604
FL,University Park CDP,42606
OR,Warrenton city,42606
MI,Harvey CDP,42610
GA,Winder city,42611
AZ,Show Low city,42614
MI,Keego Harbor city,42616
MO,Drexel city,42625
PA,Hydetown borough,42625
FL,Lake Park town,42627
MN,Rush City city,42629
SC,Beaufort city,42630
CO,Stratton town,42632
IN,Monroeville town,42632
IL,Sidell village,42639
MN,Pequot Lakes city,42639
NY,Prattsville CDP,42639
NC,Bayview CDP,42639
NC,Lewiston Woodville town,42639
OH,Benton Ridge village,42639
OH,Brookside village,42639
OH,Holloway village,42639
OH,Martinsburg village,42639
OK,Bethany city,42644
OH,Cadiz village,42645
MO,Villa Ridge CDP,42650
WI,Oshkosh city,42650
ND,Ellendale city,42661
WV,St. Marys city,42664
TN,Waverly city,42674
ND,Hillsboro city,42679
VA,Charles City CDP,42679
MI,Romulus city,42681
IL,Lincoln city,42683
KS,Grandview Plaza city,42684
FL,Florida Ridge CDP,42686
PA,Manheim borough,42686
MD,Bivalve CDP,42688
PA,Rowes Run CDP,42688
AL,Vincent town,42692
IA,Conesville city,42692
ND,Park River city,42692
IA,Quasqueton city,42697
MO,Savannah city,42699
AL,Ashford town,42704
WA,College Place city,42704
NE,Beatrice city,42707
IA,Dakota City city,42708
ME,Castine CDP,42708
PA,New Baltimore borough,42708
SC,Neeses town,42708
TX,Spade CDP,42708
WY,Crowheart CDP,42708
MO,Webb City city,42717
VA,Bluefield town,42717
PA,Grove City borough,42720
TX,Deport city,42721
CA,Thousand Palms CDP,42727
OK,Morris city,42727
CA,Keyes CDP,42735
MO,Ferguson city,42738
PA,Burgettstown borough,42738
WA,Port Townsend city,42742
AR,Poyen town,42750
FL,Hobe Sound CDP,42750
GA,Williamson city,42750
ID,Hauser city,42750
IL,Buda village,42750
IL,Campus village,42750
IA,Ladora city,42750
MI,Le Roy village,42750
NE,Morrill village,42750
NE,Shelby village,42750
NC,Coinjock CDP,42750
NC,Wrightsboro CDP,42750
IA,Lake Mills city,42760
KS,Ottawa city,42760
MI,Barnes Lake-Millers Lake CDP,42763
FL,Gulf Gate Estates CDP,42764
ME,Norridgewock CDP,42765
MI,Whitehall city,42772
TX,El Paso city,42772
NM,Bernalillo town,42775
FL,Oak Hill city,42778
IL,Patoka village,42778
IL,Ursa village,42778
NE,Bruning village,42778
OR,Mount Angel city,42778
PA,Palo Alto borough,42778
WA,Lake Cavanaugh CDP,42778
WA,Ryderwood CDP,42778
FL,Margate city,42786
AR,West Crossett CDP,42788
IA,Keosauqua city,42788
TX,Taylor city,42793
AZ,Paulden CDP,42794
ND,Grafton city,42794
GA,Warner Robins city,42795
FL,Woodville CDP,42797
AR,Mayflower city,42798
CA,Blythe city,42798
WI,St. Francis city,42808
AK,New Stuyahok city,42813
CA,Knights Landing CDP,42813
IL,Loda village,42813
IA,Bradford CDP,42813
IA,Clermont city,42813
IA,Garden Grove city,42813
IA,Somers city,42813
KS,El Dorado city,42813
KS,Winchester city,42813
MO,Milford village,42813
MO,Strasburg city,42813
NE,Blue Hill city,42813
OH,Masury CDP,42813
OH,Sterling CDP,42813
OH,Wren village,42813
OK,Dripping Springs CDP,42813
PA,Jefferson borough (Greene County),42813
WI,Mason village,42813
IL,Rochelle city,42819
AL,Coats Bend CDP,42821
WI,Green Bay city,42826
IL,Marion city,42839
TX,Tyler city,42840
LA,Grand Isle town,42841
MT,Ennis town,42841
TX,Malone town,42841
AZ,Lake Havasu City city,42847
PA,Latrobe borough,42849
SC,Florence city,42853
NC,Kannapolis city,42854
AZ,Payson town,42856
AL,Dunnavant CDP,42857
MN,Wright city,42857
NE,Inavale CDP,42857
TX,Staples city,42857
WI,Nelson village,42857
TN,Soddy-Daisy city,42861
NV,Topaz Ranch Estates CDP,42862
KY,Hawesville city,42865
SC,Monarch Mill CDP,42866
LA,Bayou L'Ourse CDP,42868
AZ,Wellton town,42869
CA,Bluewater CDP,42875
IL,Toulon city,42875
IN,Moores Hill town,42875
OK,Chouteau town,42875
OK,Hartshorne city,42875
TX,Coyanosa CDP,42875
TX,Marion city,42875
NH,Meredith CDP,42880
MN,Blue Earth city,42883
KY,Symsonia CDP,42885
MI,Centreville village,42885
PA,Enhaut CDP,42885
PA,Dickson City borough,42887
WI,Cashton village,42891
MT,Great Falls city,42896
LA,New Llano town,42898
CT,Jewett City borough,42900
MI,Bridgman city,42903
TX,Lake Medina Shores CDP,42904
HI,Honomu CDP,42917
IL,Sims village,42917
IN,Wingate town,42917
IA,Rockford city,42917
KS,Kinsley city,42917
MN,Ashby city,42917
MN,Ormsby city,42917
MO,Greendale city,42917
MO,Hoberg village,42917
NE,Wellfleet village,42917
NM,Edith Endave CDP,42917
NM,La Luz CDP,42917
ND,Oberon city,42917
OH,Cloverdale village,42917
OH,Morristown village,42917
OH,New Weston village,42917
OH,Oak Harbor village,42917
OH,Waldo village,42917
OK,White Oak CDP,42917
PA,Brisbin borough,42917
PA,Dudley borough,42917
PA,Fredonia borough,42917
PA,Lenkerville CDP,42917
PA,Summerville borough,42917
TN,Gibson town,42917
TX,Sherman city,42923
TX,Sealy city,42926
AL,Montgomery city,42927
AZ,Arizona City CDP,42927
OH,Riverside city,42930
IN,Sheridan town,42935
MN,Breckenridge city,42935
AZ,St. David CDP,42941
NY,Mohawk village,42941
CA,Smith River CDP,42944
TN,Lake Tansi CDP,42946
WI,Hillsboro city,42946
CA,Selma city,42948
NY,Johnstown city,42950
IN,Boonville city,42955
OR,Waldport city,42955
PA,Sligo borough,42955
WI,Cadott village,42955
FL,St. Augustine city,42958
IL,Pontoosuc village,42969
IA,Frederika city,42969
MN,Akeley city,42969
MO,Frohna city,42969
SD,Wentworth village,42969
TX,Frankston town,42969
TX,Weimar city,42969
WI,North Freedom village,42969
MO,Osage Beach city,42971
FL,Fort Meade city,42973
IN,Walton town,42974
TX,Brenham city,42975
KS,Hays city,42976
NM,Santa Teresa CDP,42978
ME,Dixfield CDP,42981
OH,Bladensburg CDP,42986
AK,Glacier View CDP,43000
AR,Franklin town,43000
AR,McNab town,43000
GA,Waverly Hall town,43000
IL,Brocton village,43000
IL,Cooksville village,43000
KY,Sadieville city,43000
MN,Donnelly city,43000
MO,Gibbs village,43000
NE,Mitchell city,43000
SD,Astoria town,43000
TN,Blaine city,43000
WA,George city,43000
WA,Toledo city,43000
WV,Deep Water CDP,43000
WI,Almond village,43000
WI,Cazenovia village,43000
NC,Angier town,43010
IN,Greentown town,43011
ME,Winslow CDP,43014
IA,Keota city,43015
MS,New Hebron town,43015
OK,Tipton town,43015
CA,Highgrove CDP,43021
NY,West Valley CDP,43024
NY,Honeoye CDP,43026
TX,Canyon city,43027
TX,Radar Base CDP,43028
ID,Coeur d'Alene city,43033
IL,Kingston Mines village,43036
MN,Watkins city,43036
TN,Walnut Grove CDP (Sumner County),43036
TX,Wellman city,43036
VA,Maurertown CDP,43036
VA,Scottsville town,43036
KS,Sabetha city,43043
WI,Osseo city,43043
SD,Spearfish city,43046
OH,Minerva village,43049
PA,Mundys Corner CDP,43050
FL,St. Augustine Shores CDP,43053
CA,North Lakeport CDP,43056
IL,Prairie du Rocher village,43056
MN,Farwell city,43056
ND,Mayville city,43056
PA,Emlenton borough,43056
FL,Lecanto CDP,43058
SD,Freeman city,43059
FL,East Milton CDP,43060
MN,Redwood Falls city,43063
FL,Homeland CDP,43068
LA,Loreauville village,43068
MI,Burr Oak village,43068
TX,River Oaks city,43073
PA,Pottstown borough,43075
NE,Callaway village,43077
NV,West Wendover city,43077
OH,Harpster village,43077
IA,Carroll city,43078
MI,Charlotte city,43079
AZ,Spring Valley CDP,43083
KS,Eskridge city,43083
OH,Sardis CDP,43083
MO,Smithton city,43088
MN,Cannon Falls city,43092
OR,Woodburn city,43093
NE,Lexington city,43096
CA,Sanger city,43099
OR,Eugene city,43101
IN,Clarksburg CDP,43103
NC,Cherryville city,43103
TX,Odem city,43103
KS,Manhattan city,43104
CA,Chester CDP,43106
CA,Lynwood city,43109
FL,Green Cove Springs city,43114
FL,Harbour Heights CDP,43114
OR,Three Rivers CDP,43114
AL,Taylor town,43116
MA,Webster CDP,43116
IL,Steger village,43118
AK,Shungnak city,43125
GA,Good Hope city,43125
IL,Loami village,43125
IL,Longview village,43125
IL,Milton village,43125
IL,Saunemin village,43125
IA,Coburg city,43125
IA,Coin city,43125
KS,Dearing city,43125
MI,Clifford village,43125
MN,Flensburg city,43125
MN,Glenwood city,43125
MN,Solway city,43125
MO,Cedar Hill Lakes village,43125
MO,Jacksonville village,43125
MO,Northmoor city,43125
MT,Bearcreek town,43125
MT,Plevna town,43125
NE,Davenport village,43125
NE,Farnam village,43125
NC,Bear Grass town,43125
OH,Wilkesville village,43125
OK,Bessie town,43125
OK,Earlsboro town,43125
OK,Wakita town,43125
OR,Clatskanie city,43125
PA,New Beaver borough,43125
PA,Ramey borough,43125
SC,Cottageville town,43125
TN,Watauga city,43125
TX,Redwater city,43125
TX,San Isidro CDP,43125
VA,Scotland CDP,43125
WA,Port Gamble Tribal Community CDP,43125
WI,Babcock CDP,43125
WI,Minong village,43125
WI,Montreal city,43125
WI,Mount Hope village,43125
IN,Williams CDP,43139
TX,Burnet city,43149
MN,Preston city,43150
ME,South Windham CDP,43155
FL,Kensington Park CDP,43158
FL,Cedar Grove CDP,43162
FL,Palm Bay city,43163
CO,Palisade town,43167
OH,Baltic village,43167
VA,Motley CDP,43173
WI,Denmark village,43179
MN,Stewart city,43182
NY,Canandaigua city,43185
WI,Boscobel city,43185
OH,Heath city,43187
NY,Philmont village,43188
MO,Union city,43189
TX,Abilene city,43189
IL,Raymond village,43194
MI,Dryden village,43194
OK,Corn town,43194
PA,Locustdale CDP,43203
NY,Frankfort village,43208
FL,Bartow city,43209
IN,Hudson town,43214
IN,Town of Pines town,43214
NY,Richmondville village,43214
FL,Warm Mineral Springs CDP,43219
ME,Fryeburg CDP,43221
FL,Union Park CDP,43223
MI,Boyne City city,43226
MN,Trimont city,43229
FL,Tamarac city,43235
NJ,Egg Harbor City city,43235
ND,Turtle Lake city,43235
OH,Mount Carmel CDP,43235
NH,Franklin city,43237
FL,Sarasota city,43244
TN,Olivet CDP,43245
AZ,Kingman city,43246
LA,Lacombe CDP,43248
AK,Nenana city,43250
IL,Flat Rock village,43250
IL,Prophetstown city,43250
IA,Galva city,43250
IA,Gowrie city,43250
IA,Luana city,43250
MN,Claremont city,43250
MO,Barnard city,43250
OH,Fultonham village,43250
OK,Etowah town,43250
PA,Garrett borough,43250
PA,Laceyville borough,43250
NC,Manteo town,43258
AL,Reece City town,43261
KS,Westmoreland city,43269
PA,Valencia borough,43269
AZ,Parker town,43271
IN,Lyons town,43274
MN,Jackson city,43274
AL,Hammondville town,43281
NY,Gilbertsville village,43281
OK,Pond Creek city,43281
MO,Lemay CDP,43282
MO,La Monte city,43285
OH,Cherry Fork village,43287
TX,Overton city,43295
WI,West Baraboo village,43295
MO,St. Joseph city,43298
WI,Peshtigo city,43300
TX,Galena Park city,43302
WI,Albany village,43304
CT,Ansonia city,43305
WI,Greenleaf CDP,43309
IL,Bluffs village,43313
MO,Stewartsville city,43313
TX,D'Hanis CDP,43315
IL,Belleville city,43318
OK,Pinhook Corner CDP,43319
GA,McDonough city,43320
NY,Rome city,43323
AL,Stewartville CDP,43333
AK,Kobuk city,43333
IL,Orangeville village,43333
IL,Westfield village,43333
IN,Riley town,43333
LA,Athens village,43333
MI,Ironton CDP,43333
MN,Northrop city,43333
MN,Willow River city,43333
MS,Sylvarena village,43333
MO,Leonard village,43333
MO,Linn Creek city,43333
NE,Bellwood village,43333
NE,Clarks village,43333
NY,Woodsville CDP,43333
OK,Amber town,43333
OK,River Bottom CDP,43333
PA,Eau Claire borough,43333
PA,Linesville borough,43333
SD,Camp Crook town,43333
VT,Greensboro Bend CDP,43333
WV,Gilbert town,43333
WI,Blair city,43333
WI,Gordon CDP,43333
NC,Asheville city,43334
NC,Hickory city,43338
FL,Rotonda CDP,43339
CA,Redding city,43341
TX,Edinburg city,43346
MI,Gwinn CDP,43348
FL,Alturas CDP,43350
OH,Edgerton village,43350
OR,Yachats city,43352
FL,Port Orange city,43353
LA,Morgan City city,43354
OR,Deer Island CDP,43355
IN,Morocco town,43359
IA,Vail city,43359
NE,Atkinson city,43359
LA,Terrytown CDP,43363
PA,Flemington borough,43365
AR,Lonoke city,43366
KS,Wellington city,43369
SC,South Congaree town,43370
AZ,San Jose CDP,43375
MI,Augusta village,43375
PA,Centerport borough,43375
VT,Cavendish CDP,43375
GA,Cusseta-Chattahoochee County unified government,43378
AZ,Chino Valley town,43379
WI,Sheboygan city,43381
KS,Riley city,43382
NC,Glen Raven CDP,43383
MI,Ovid village,43384
FL,Masaryktown CDP,43385
FL,Sugarmill Woods CDP,43385
IN,Kirklin town,43393
IA,Fertile city,43393
IA,Greeley city,43393
MA,Popponesset CDP,43393
MI,Casnovia village,43393
MO,Murphy CDP,43393
NE,Bancroft village,43393
NY,Ovid village,43393
OK,Cheyenne town,43393
IN,Shelbyville city,43395
NJ,Roselle borough,43397
NY,Clyde village,43400
IL,Mendota city,43406
GA,Glennville city,43408
KS,Alta Vista city,43409
NC,Granite Falls town,43409
SD,Richland CDP,43409
NY,North Syracuse village,43411
IL,Gilman city,43413
KS,Troy city,43417
VA,Gratton CDP,43417
WA,Entiat city,43417
WV,Boomer CDP,43417
CO,Holyoke city,43419
IN,Cloverdale town,43421
OK,Shattuck town,43421
NC,Swansboro town,43422
IN,Hagerstown town,43424
PA,Lemoyne borough,43424
TX,Plainview city,43424
SC,Newry CDP,43426
CO,Buena Vista town,43429
AR,Siloam Springs city,43431
NC,Lake Royale CDP,43433
WV,Nitro city,43434
IL,Ava city,43438
IL,London Mills village,43438
IL,Medora village,43438
IL,Watson village,43438
IL,Whiteash CDP,43438
IN,South Whitley town,43438
MN,Carlton city,43438
MN,La Salle city,43438
MO,Lakeshire city,43438
NY,Cleveland village,43438
NY,Turin village,43438
OH,Sarahsville village,43438
OR,Long Creek city,43438
PA,Donaldson CDP,43438
TX,La Ward city,43438
WA,Elmer City town,43438
WY,Thermopolis town,43438
WA,Burlington city,43439
NY,South Lockport CDP,43441
NC,Dana CDP,43446
KY,Summer Shade CDP,43447
WA,Leavenworth city,43447
MI,Hastings city,43449
PA,Beaverdale CDP,43450
IA,Parkersburg city,43452
NV,Kingston CDP,43452
PA,Homer City borough,43452
SC,Cayce city,43452
AL,Wilsonville town,43456
IL,East Moline city,43459
TN,Clarkrange CDP,43459
OK,Lone Grove city,43460
IL,Melvin village,43462
SD,Green Valley CDP,43462
MI,Cass City village,43464
OH,Parma Heights city,43464
WV,Ranson corporation,43464
TX,Spearman city,43466
AZ,Freedom Acres CDP,43472
IL,Witt city,43472
KS,Sterling city,43472
LA,Buras CDP,43472
MI,Beulah village,43472
MN,Slayton city,43472
MO,Independence city,43472
PA,Lilly borough,43477
PA,New Market CDP,43477
CA,McArthur CDP,43478
IN,Mentone town,43482
NY,Middleburgh village,43482
PA,Collinsburg CDP,43482
PA,Blue Ridge Summit CDP,43487
GA,Cumming city,43491
IA,Evansdale city,43492
PA,Southwest Greensburg borough,43495
MO,Knob Noster city,43496
CA,Junction City CDP,43500
FL,Limestone Creek CDP,43500
IL,Chrisman city,43500
IN,Darlington town,43500
IA,Defiance city,43500
KS,Wetmore city,43500
MN,Millerville city,43500
MO,La Russell city,43500
MT,St. Pierre CDP,43500
OR,Nehalem city,43500
SD,Interior town,43500
IA,Humboldt city,43504
CA,Aguanga CDP,43505
MI,Michigan Center CDP,43506
CA,Compton city,43507
NY,Fairview CDP (Westchester County),43512
WA,White Center CDP,43516
OH,Perry Heights CDP,43520
FL,Freeport city,43523
KS,Norton city,43523
MI,Warren city,43523
OH,Laura village,43523
WI,Casco village,43523
IA,Mason City city,43525
WI,Delavan city,43527
WI,Fennimore city,43527
NE,Randolph city,43529
AL,Cowarts town,43533
IA,Estherville city,43536
NE,Valentine city,43536
WA,Bellingham city,43536
IA,Storm Lake city,43539
WI,Eau Claire city,43541
FL,Gibsonton CDP,43542
IA,Victor city,43542
KY,Fairfield city,43542
NC,Saluda city,43542
OH,West Manchester village,43542
TX,Granger city,43542
WI,Potosi village,43542
CA,Ferndale city,43548
FL,Sharpes CDP,43548
SD,Armour city,43548
FL,Macclenny city,43550
CA,South Gate city,43552
NM,Arenas Valley CDP,43555
IL,Mark village,43558
MN,Ellsworth city,43558
TX,Kingsbury CDP,43559
IN,Rensselaer city,43560
AZ,Kearny town,43563
GA,Deenwood CDP,43563
IL,Robinson city,43563
NJ,Elizabeth city,43568
CA,Lindcove CDP,43571
GA,Climax city,43571
MI,North Adams village,43571
PA,Wattsburg borough,43571
WI,Thornton CDP,43571
GA,Adairsville city,43578
IL,Spring Valley city,43583
NY,Dolgeville village,43586
OR,North Bend city,43586
WI,Lake Geneva city,43587
CA,Caruthers CDP,43594
IN,Hartsville town,43594
IN,Holland town,43594
IN,Otterbein town,43594
IN,Staunton town,43594
OK,Camargo town,43594
PA,Stoneboro borough,43594
PA,Sugarcreek borough,43594
TX,Magnolia city,43594
TX,Winnie CDP,43601
NC,Balfour CDP,43611
UT,Myton city,43611
